"","X","eyeBlinkLeft","eyeLookDownLeft","eyeLookInLeft","eyeLookOutLeft","eyeLookUpLeft","eyeSquintLeft","eyeWideLeft","eyeBlinkRight","eyeLookDownRight","eyeLookInRight","eyeLookOutRight","eyeLookUpRight","eyeSquintRight","eyeWideRight","jawForward","jawLeft","jawRight","jawOpen","mouthClose","mouthFunnel","mouthPucker","mouthLeft","mouthRight","mouthSmileLeft","mouthSmileRight","mouthFrownLeft","mouthFrownRight","mouthDimpleLeft","mouthDimpleRight","mouthStretchLeft","mouthStretchRight","mouthRollLower","mouthRollUpper","mouthShrugLower","mouthShrugUpper","mouthPressLeft","mouthPressRight","mouthLowerDownLeft","mouthLowerDownRight","mouthUpperUpLeft","mouthUpperUpRight","browDownLeft","browDownRight","browInnerUp","browOuterUpLeft","browOuterUpRight","cheekPuff","cheekSquintLeft","cheekSquintRight","noseSneerLeft","noseSneerRight","tongueOut","timeStamp","accurateTime","stressLevel"
"21",6408,0.0555712,0.1841177,0.0697902,0,0,0.1792587,0.004118049,0.05432605,0.1850671,0.04083616,0,0,0.1795741,0.00416514,0.02953886,0.01815959,2.180627e-05,0.01002413,0.01382515,0.08131496,0.03862674,0.02663384,7.466028e-26,0.2116394,0.1652434,4.265512e-05,5.01229e-05,0.2675515,0.2292618,0.09155032,0.07902372,0.05342561,0.04512962,0.3971298,0.1208813,0.07049987,0.07350087,0.02809508,0.02671774,0.1167411,0.1136059,0.2695894,0.2688504,0.06698988,-1.261169e-44,-1.261169e-44,0.024643,0.182272,0.1664743,0.1844101,0.1818946,0.001440006,1376842," 437718:22:56.842",1
"22",6409,0.05945335,0.1824798,0.06803276,0,0,0.1850018,0.003792848,0.0581125,0.1834154,0.0426023,0,0,0.185309,0.003836222,0.02970926,0.01807961,2.006849e-05,0.009993396,0.01380707,0.08166227,0.03877832,0.02637927,6.871046e-26,0.2154911,0.1664017,3.925585e-05,4.612851e-05,0.2661636,0.2284763,0.09151629,0.07905218,0.05341145,0.04505517,0.3969155,0.1214127,0.07082864,0.07385071,0.02823272,0.02682486,0.1172716,0.1141346,0.2745195,0.2736787,0.06661194,-1.261169e-44,-1.261169e-44,0.02455153,0.1889666,0.1702208,0.1856497,0.1830416,0.001357459,1376858," 437718:22:56.858",1
"23",6410,0.07157641,0.1824472,0.06648164,0,0,0.1898188,0.00349218,0.07015131,0.1833712,0.04416952,0,0,0.1901235,0.003532117,0.02991171,0.01788598,1.846919e-05,0.0100143,0.01380982,0.08202715,0.03889038,0.02612632,6.323478e-26,0.2206528,0.1694413,3.612747e-05,4.245244e-05,0.2650464,0.2264255,0.09149035,0.07909509,0.05333011,0.04501081,0.3932447,0.121858,0.07104757,0.07406329,0.02850254,0.02705637,0.1178284,0.1145489,0.2793021,0.2783868,0.06625751,-1.261169e-44,-1.261169e-44,0.0244069,0.1939296,0.1741551,0.1865926,0.1837987,0.001480637,1376875," 437718:22:56.875",1
"24",6411,0.07752022,0.1826841,0.06624309,0,0,0.1937519,0.003214733,0.07613464,0.1836066,0.04440517,0,0,0.1940623,0.003251498,0.03012378,0.01769043,1.699734e-05,0.01003056,0.01381319,0.08239868,0.03890193,0.02588327,5.819548e-26,0.2267608,0.1729983,3.32484e-05,3.906932e-05,0.2643292,0.2253132,0.0915553,0.07925054,0.05324949,0.04495797,0.3903474,0.1219073,0.07109933,0.07411528,0.02877908,0.02729792,0.1182999,0.1148176,0.2820169,0.2810375,0.0660053,-1.261169e-44,-1.261169e-44,0.02422206,0.1993205,0.1790154,0.1897435,0.1852057,0.001484441,1376891," 437718:22:56.891",1
"25",6412,0.082528,0.1826092,0.06778821,0,0,0.1989053,0.002959001,0.08125551,0.1835426,0.04276954,0,0,0.1992019,0.002992841,0.03039513,0.01726539,1.564279e-05,0.01008305,0.01382622,0.0828025,0.03892705,0.02545411,5.355776e-26,0.2320056,0.1803178,3.059877e-05,3.595581e-05,0.2623688,0.223417,0.0915435,0.07944217,0.05315884,0.04488466,0.3884621,0.1222864,0.07121201,0.07420455,0.02913679,0.02762083,0.1193012,0.115352,0.2857342,0.2847782,0.06575145,-1.261169e-44,-1.261169e-44,0.02401049,0.2059037,0.1874471,0.1949516,0.1893096,0.00137061,1376908," 437718:22:56.908",1
"26",6413,0.08467932,0.1828125,0.06980336,0,0,0.2014973,0.002723437,0.0834512,0.1837606,0.04063946,0,0,0.2017825,0.002754583,0.03070093,0.01671136,1.439619e-05,0.0101774,0.01384143,0.08311738,0.0389211,0.02492227,4.928964e-26,0.2355665,0.1861979,2.81603e-05,3.309043e-05,0.2561669,0.2191922,0.09157661,0.07972252,0.05298855,0.04474979,0.3814306,0.1241624,0.07124212,0.0741972,0.02962945,0.02807015,0.1215858,0.1166665,0.2878454,0.2869512,0.06552821,-1.261169e-44,-1.261169e-44,0.02373669,0.2085297,0.1908221,0.1975187,0.1918556,0.001261869,1376925," 437718:22:56.925",1
"27",6414,0.09320812,0.1833158,0.06986656,0,0,0.2046349,0.002506531,0.0922322,0.1842642,0.04051574,0,0,0.2048931,0.002535197,0.03155049,0.01345693,0.0002451795,0.01175129,0.01396785,0.0834983,0.03896552,0.02427887,4.536165e-26,0.2809628,0.2344563,2.591615e-05,3.045339e-05,0.1875051,0.154901,0.0915914,0.0800225,0.05252791,0.04479641,0.2899719,0.1970194,0.07109906,0.07389569,0.04839638,0.04407481,0.1354737,0.1251464,0.2890542,0.288189,0.06550281,-1.261169e-44,-1.261169e-44,0.02331736,0.2101394,0.1927811,0.1983158,0.1927395,0.001094731,1376941," 437718:22:56.941",1
"28",6415,0.09840335,0.1821104,0.06755645,0,0,0.2130143,0.002306851,0.0975462,0.1830414,0.04288042,0,0,0.2131746,0.002333233,0.03661541,0.01126682,0.0008332518,0.0470658,0.01417726,0.08345678,0.0394086,0.0240661,4.174669e-26,0.3671557,0.3241704,2.385084e-05,2.80265e-05,0.112844,0.09959883,0.0913415,0.08025934,0.05079709,0.04491603,0.159295,0.2956039,0.06950501,0.07128116,0.1218919,0.1156338,0.1579985,0.1475126,0.2908427,0.2901153,0.06574857,-1.261169e-44,-1.261169e-44,0.02250663,0.210899,0.1937782,0.1906276,0.1877169,0.0009614704,1376958," 437718:22:56.958",1
"29",6416,0.1008244,0.181031,0.0669711,0,0,0.2172561,0.002123051,0.1000226,0.1819578,0.04354616,0,0,0.2173615,0.002147331,0.03971762,0.009842822,0.001480975,0.05807835,0.01444508,0.08344782,0.03995258,0.02384682,3.841981e-26,0.3924356,0.3507963,2.195012e-05,2.579301e-05,0.08901681,0.08085245,0.09096933,0.08038361,0.04792191,0.045045,0.1191723,0.3264,0.06687047,0.06768917,0.1432639,0.1363429,0.1673359,0.1568744,0.2915081,0.2908359,0.06614668,-1.261169e-44,-1.261169e-44,0.02143847,0.2107194,0.1938711,0.1796557,0.177978,0.0007081949,1376975," 437718:22:56.975",1
"30",6417,0.1024196,0.1784947,0.06724409,0,0,0.2232765,0.001953881,0.1016581,0.179423,0.04332096,0,0,0.223341,0.001976226,0.04189151,0.008803304,0.00212775,0.06629135,0.01474599,0.08361816,0.04049369,0.02361998,3.535806e-26,0.4055923,0.3648663,2.020087e-05,2.373751e-05,0.07736401,0.07134871,0.09061443,0.08049259,0.04478991,0.04520795,0.09851928,0.3422539,0.0635433,0.06384192,0.1592782,0.1519752,0.1719824,0.1615987,0.2919337,0.2913052,0.06658974,-1.261169e-44,-1.261169e-44,0.02031695,0.2101312,0.1937011,0.1731518,0.1724488,0.0004645002,1376992," 437718:22:56.992",1
